Module_Name,License,Secondary License
abseil-cpp,Apache-2.0
acado_pathtracker_mpc,LGPL-3.0
acados,BSD-2-Clause
aktualizr,MPL-2.0
appimageupdate,MIT
argtable3,BSD-3
asio,Boost Software License 1.0
assimp,Custom
avro,Apache 2.0
aws-sdk-cpp,Apache 2.0
Basler-Pylon,pylon-eula
bayes,MIT
better-enums,BSD-2
bison,GPL-3.0
blitz,LGPL-3.0
boost,Boost Software License 1.0
ullet3,zlib license
bzip2,BSD-4
c-ares,c-ares
casadi,LGPS-3.0
cereal,BSD-3
ceres-solver,MIT
clipper,Boost Software License 1.0
concurrentqueue,BSD-3,Boost Software License 1.0
cpprestsdk,MIT
crossguid,MIT
cuda,EULA
cuda-stubs,EULA
cudnn,EULA
cxxopts,MIT
DBoW2,BSD-3
DLib,BSD-3
dsrcasn,BSD-2
easy_profiler,MIT
egl,Apache-2.0
eigen,MPL-2.0
flann,BSD-3
flatbuffers,Apache 2.0
flex,BSD-2
gz-utils,Apache-2.0
gz-math,Apache-2.0
spinnaker,Apache 2.0
flirtlib,LGPL-3.0
flycapture2,Point Grey EULA
fmt,BSD-2
freetype,FTL
g2opy,BSD
Gamepad,Aptiv Internal
gdal,MIT, X
geojson-cpp,ISC
geometry-hpp,private
geos,GDAL/OGR
geospatial,nuTonomy
glad,MIT
glbinding,MIT
glew,MIT
glfw,zlib license
glib,LGPL-2.1
glm,MIT
glog,BSD-3
google-benchmark,Apache 2.0
re2,BSD-3
gtest,BSD-3
gtsam,BSD-3
icu,ICU
imgui,MIT
IpxCameraSDK,Imperx License
irrlicht,zlib license
ispc,BSD
jemalloc,BSD-2
json-c_project,MIT
jsoncpp,MIT
json-schema-validator,MIT
KTX,Apache 2.0
lapack,BSD-3
layout,Blendish
lcm,LGPL 2.1
Lemon,Boost Software License 1.0
libalsa,LGPL-2.1
libarchive,libarchive
libconfig,LGPL-2.1
libcurl,MIT
libE57Format,BSD-1.0 License
libevdev,X11
libevent,BSD-3
expat,MIT/X Consortium
libffi,MIT
libgeotiff,libgeotiff Licensing
libhrframegrabber,EULA
libhrmatrix,EULA
libiconv,LGPL-2.1
libjpeg-turbo,BSD 3-Clause ZLIB
libmp3lame,LGPL-2.0
libnabo,BSD-3
libosmium,BSL-1.0
libpng,libpng-2.0
libpointmatcher,BSD-3
libpq,PostgreSQL
protozero,Copyright Mapbox
libsndfile,LGPL-2.1
libsodium,ISC
libtiff,MIT
libtorch,BSD
libusb,LGPL-2.1
libuuid,BSD-3
libwebp,BSD-3-Clause
libx264,GPL-2.0
libx265,http://hg.videolan.org/x265/file/tip/COPYING
libyaml,MIT
libzmq,LGPL-3.0
linasm,GPL-3.0-or-later
linux-canlib,BSD-3
lpsolve,LGPL-2.0-only
lz4,BSD-2,GPL-2.0-or-later
magicget,Boost Software License 1.0
mapbox-earcut-hpp,ISC
mapboxgl,private
mapbox-variant,private
mcap,MIT
meson_installer,	Apache 2.0
mkl,Intel Simplified Software License - ISSL
mosquitto,EPL-2.0
